Ur,Clave,Descripcion
1,100,SECRETARÍA
2,108,"DIRECCIÓN GENERAL DE SUPERVISIÓN, EVALUACIÓN Y RENDICIÓN DE CUENTAS"
3,109,DIRECCIÓN GENERAL DE NORMALIZACIÓN AGROALIMENTARIA
4,110,OFICINA DEL ABOGADO GENERAL
5,111,COORDINACIÓN GENERAL DE COMUNICACIÓN SOCIAL
6,112,COORDINACIÓN GENERAL DE ENLACE SECTORIAL
7,113,COORDINACIÓN GENERAL DE OPERACIÓN TERRITORIAL
8,117,COORDINACIÓN GENERAL DE ASUNTOS INTERNACIONALES
9,121,OFICINA DE REPRESENTACIÓN EN AGUASCALIENTES
10,122,OFICINA DE REPRESENTACIÓN EN BAJA CALIFORNIA
11,123,OFICINA DE REPRESENTACIÓN EN BAJA CALIFORNIA SUR
12,124,OFICINA DE REPRESENTACIÓN EN CAMPECHE
13,125,OFICINA DE REPRESENTACIÓN EN COAHUILA
14,126,OFICINA DE REPRESENTACIÓN EN COLIMA
15,127,OFICINA DE REPRESENTACIÓN EN CHIAPAS
16,128,OFICINA DE REPRESENTACIÓN EN CHIHUAHUA
17,129,OFICINA DE REPRESENTACIÓN EN LA CIUDAD DE MÉXICO
18,130,OFICINA DE REPRESENTACIÓN EN DURANGO
19,131,OFICINA DE REPRESENTACIÓN EN GUANAJUATO
20,132,OFICINA DE REPRESENTACIÓN EN GUERRERO
21,133,OFICINA DE REPRESENTACIÓN EN HIDALGO
22,134,OFICINA DE REPRESENTACIÓN EN JALISCO
23,135,OFICINA DE REPRESENTACIÓN EN EL ESTADO DE MÉXICO
24,136,OFICINA DE REPRESENTACIÓN EN MICHOACÁN
25,137,OFICINA DE REPRESENTACIÓN EN MORELOS
26,138,OFICINA DE REPRESENTACIÓN EN NAYARIT
27,139,OFICINA DE REPRESENTACIÓN EN NUEVO LEÓN
28,140,OFICINA DE REPRESENTACIÓN EN OAXACA
29,141,OFICINA DE REPRESENTACIÓN EN PUEBLA
30,142,OFICINA DE REPRESENTACIÓN EN QUERÉTARO
31,143,OFICINA DE REPRESENTACIÓN EN QUINTANA ROO
32,144,OFICINA DE REPRESENTACIÓN EN SAN LUIS POTOSÍ
33,145,OFICINA DE REPRESENTACIÓN EN SINALOA
34,146,OFICINA DE REPRESENTACIÓN EN SONORA
35,147,OFICINA DE REPRESENTACIÓN EN TABASCO
36,148,OFICINA DE REPRESENTACIÓN EN TAMAULIPAS
37,149,OFICINA DE REPRESENTACIÓN EN TLAXCALA
38,150,OFICINA DE REPRESENTACIÓN EN VERACRUZ
39,151,OFICINA DE REPRESENTACIÓN EN YUCATÁN
40,152,OFICINA DE REPRESENTACIÓN EN ZACATECAS
41,153,OFICINA DE REPRESENTACIÓN EN LA REGIÓN LAGUNERA
42,200,SUBSECRETARÍA DE AUTOSUFICIENCIA ALIMENTARIA
43,212,DIRECCIÓN GENERAL DE ORGANIZACIÓN PARA LA PRODUCTIVIDAD
44,214,DIRECCIÓN GENERAL DE LA AUTOSUFICIENCIA ALIMENTARIA
45,215,DIRECCIÓN GENERAL DE APOYOS PRODUCTIVOS DIRECTOS
46,300,COORDINACIÓN GENERAL DE AGRICULTURA
47,310,DIRECCIÓN GENERAL DE FOMENTO A LA AGRICULTURA
48,311,DIRECCIÓN GENERAL DE SUELOS Y AGUA
49,312,DIRECCIÓN GENERAL DE GESTIÓN DE RIESGOS
50,314,"DIRECCIÓN GENERAL DE POLÍTICAS, PROSPECCIÓN Y CAMBIO CLIMÁTICO"
51,315,DIRECCIÓN GENERAL DE VALOR AGREGADO Y MERCADOS
52,400,COORDINACIÓN GENERAL DE DESARROLLO RURAL
53,410,DIRECCIÓN GENERAL DE FORTALECIMIENTO A LA AGRICULTURA FAMILIAR
54,411,DIRECCIÓN GENERAL DE INTEGRACIÓN ECONÓMICA
55,413,"DIRECCIÓN GENERAL DE INVESTIGACIÓN, DESARROLLO TECNOLÓGICO Y EXTENSIONISMO"
56,500,UNIDAD DE ADMINISTRACIÓN Y FINANZAS
57,510,"DIRECCIÓN GENERAL DE PROGRAMACIÓN, PRESUPUESTO Y FINANZAS"
58,511,DIRECCIÓN GENERAL DE CAPITAL HUMANO Y DESARROLLO ORGANIZACIONAL
59,512,"DIRECCIÓN GENERAL DE RECURSOS MATERIALES, INMUEBLES Y SERVICIOS"
60,513,DIRECCIÓN GENERAL DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES
61,600,COORDINACIÓN GENERAL DE INTELIGENCIA DE MERCADOS AGROALIMENTARIOS
62,610,DIRECCIÓN GENERAL DE COMERCIALIZACIÓN
63,611,DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE RIESGOS DE PRECIOS
64,612,DIRECCIÓN GENERAL DE OPERACIÓN
65,700,COORDINACIÓN GENERAL DE GANADERÍA
66,710,DIRECCIÓN GENERAL DE REPOBLAMIENTO GANADERO
67,711,DIRECCIÓN GENERAL DE SUSTENTABILIDAD DE TIERRAS DE USO GANADERO
68,B00,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA"
69,C00,SERVICIO NACIONAL DE INSPECCIÓN Y CERTIFICACIÓN DE SEMILLAS
70,D00,COLEGIO SUPERIOR AGROPECUARIO DEL ESTADO DE GUERRERO
71,G00,SERVICIO DE INFORMACIÓN AGROALIMENTARIA Y PESQUERA
72,I00,COMISIÓN NACIONAL DE ACUACULTURA Y PESCA
73,AFU,COMITÉ NACIONAL PARA EL DESARROLLO SUSTENTABLE DE LA CAÑA DE AZÚCAR
74,A1I,UNIVERSIDAD AUTÓNOMA CHAPINGO
75,IZC,COLEGIO DE POSTGRADUADOS
76,IZI,COMISIÓN NACIONAL DE LAS ZONAS ÁRIDAS
77,I6L,FIDEICOMISO DE RIESGO COMPARTIDO
78,I6U,FONDO DE EMPRESAS EXPROPIADAS DEL SECTOR AZUCARERO
79,I9H,"INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL, A.C."
80,JAG,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRÍCOLAS Y PECUARIAS"
81,JBP,SEGURIDAD ALIMENTARIA MEXICANA
82,RJL,INSTITUTO NACIONAL DE PESCA Y ACUACULTURA
83,VSS,"DICONSA, S.A. DE C.V."
84,VST,"LICONSA, S.A. DE C.V."
